Name,eval/accuracy,eval/macro_f1,eval/micro_f1,mean_acc,std_acc,mean_f1,std_f1,,Name,mean_acc,std_acc,mean_f1,std_f1
scibert_res_run5,0.826785714,0.730806992,0.826785714,,,,,,scibert_res,0.82625,0.007670261,0.736465636,0.011534301
scibert_res_run4,0.826785714,0.72816526,0.826785714,,,,,,scibert_agn,0.912105263,0.003990987,0.910734544,0.004113559
scibert_res_run3,0.814285714,0.728274957,0.814285714,,,,,,scibert_acl,0.831654676,0.026236809,0.747318373,0.036781107
scibert_res_run2,0.835714286,0.755249315,0.835714286,,,,,,roberta_res,0.781964286,0.077497223,0.614054678,0.203102779
scibert_res_run1,0.827678571,0.739831656,0.827678571,0.82625,0.007670261,0.736465636,0.011534301,,roberta_agn,0.919736842,0.005263158,0.918132634,0.005309509
scibert_agn_run5,0.914473684,0.91327715,0.914473684,,,,,,roberta_acl,0.663309353,0.076374285,0.402746751,0.199034706
scibert_agn_run4,0.911842105,0.910528661,0.911842105,,,,,,bert_res,0.844107143,0.007378912,0.763960367,0.011809649
scibert_agn_run3,0.914473684,0.913082234,0.914473684,,,,,,bert_agn,0.926052632,0.0112575,0.92457279,0.011517139
scibert_agn_run2,0.914473684,0.913119637,0.914473684,,,,,,bert_acl,0.758273381,0.016562395,0.626847476,0.036018422
scibert_agn_run1,0.905263158,0.903665037,0.905263158,0.912105263,0.003990987,0.910734544,0.004113559,,adapter_res_run1,0.816964286,,0.693185683,
scibert_acl_run5,0.877697842,0.806553666,0.877697842,,,,,,adapter_acl_run1,0.823214286,,0.697906689,
scibert_acl_run4,0.81294964,0.708616145,0.81294964,,,,,,adapter_agn_run1,0.925,,0.92353,
scibert_acl_run3,0.820143885,0.739267921,0.820143885,,,,,,roberta_res,0.781964286,0.077497223,0.614054678,0.203102779
scibert_acl_run2,0.827338129,0.729631555,0.827338129,,,,,,roberta_agn,0.919736842,0.005263158,0.918132634,0.005309509
scibert_acl_run1,0.820143885,0.752522577,0.820143885,0.831654676,0.026236809,0.747318373,0.036781107,,roberta_acl,0.663309353,0.076374285,0.402746751,0.199034706
roberta_res_run5,0.836607143,0.739033765,0.836607143,,,,,,Name,mean_acc,std_acc,mean_f1,std_f1
roberta_res_run4,0.833035714,0.743813242,0.833035714,,,,,,,,,,
roberta_res_run3,0.65,0.262626263,0.65,,,,,,,,,,
roberta_res_run2,0.813392857,0.709140919,0.813392857,,,,,,,,,,
roberta_res_run1,0.776785714,0.6156592,0.776785714,0.781964286,0.077497223,0.614054678,0.203102779,,,,,,
roberta_agn_run5,0.926315789,0.924779292,0.926315789,,,,,,,,,,
roberta_agn_run4,0.922368421,0.920650333,0.922368421,,,,,,,,,,
roberta_agn_run3,0.913157895,0.911498474,0.913157895,,,,,,,,,,
roberta_agn_run2,0.915789474,0.914125852,0.915789474,,,,,,,,,,
roberta_agn_run1,0.921052632,0.919609217,0.921052632,0.919736842,0.005263158,0.918132634,0.005309509,,,,,,
roberta_acl_run5,0.748201439,0.646221996,0.748201439,,,,,,,,,,
roberta_acl_run4,0.611510791,0.233099141,0.611510791,,,,,,,,,,
roberta_acl_run3,0.633093525,0.274074074,0.633093525,,,,,,,,,,
roberta_acl_run2,0.741007194,0.591937785,0.741007194,,,,,,,,,,
roberta_acl_run1,0.582733813,0.268400759,0.582733813,0.663309353,0.076374285,0.402746751,0.199034706,,,,,,
bert_res_run5,0.85,0.766697545,0.85,,,,,,,,,,
bert_res_run4,0.83125,0.743013683,0.83125,,,,,,,,,,
bert_res_run3,0.847321429,0.770263402,0.847321429,,,,,,,,,,
bert_res_run2,0.846428571,0.769204631,0.846428571,,,,,,,,,,
bert_res_run1,0.845535714,0.770622575,0.845535714,0.844107143,0.007378912,0.763960367,0.011809649,,,,,,
bert_agn_run5,0.930263158,0.928872255,0.930263158,,,,,,,,,,
bert_agn_run4,0.906578947,0.904602519,0.906578947,,,,,,,,,,
bert_agn_run3,0.930263158,0.928827545,0.930263158,,,,,,,,,,
bert_agn_run2,0.927631579,0.926406883,0.927631579,,,,,,,,,,
bert_agn_run1,0.935526316,0.934154751,0.935526316,0.926052632,0.0112575,0.92457279,0.011517139,,,,,,
bert_acl_run5,0.748201439,0.636371247,0.748201439,,,,,,,,,,
bert_acl_run4,0.762589928,0.619959756,0.762589928,,,,,,,,,,
bert_acl_run3,0.741007194,0.580280781,0.741007194,,,,,,,,,,
bert_acl_run2,0.784172662,0.679778555,0.784172662,,,,,,,,,,
bert_acl_run1,0.755395683,0.61784704,0.755395683,0.758273381,0.016562395,0.626847476,0.036018422,,,,,,
adapter_res_run1,0.816964286,0.693185683,0.816964286,,,,,,,,,,
adapter_agn_run1,0.925,0.92353,,,,,,,,,,,
adapter_acl_run1,0.823214286,0.697906689,0.823214286,,,,,,,,,,
